2023-11-10 09:24:11.753 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-10 09:24:11.757 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-10 09:24:11.757 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 93 ms
2023-11-10 09:24:11.801 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:24:11.801 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/css/**']
2023-11-10 09:24:11.801 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:24:11.801 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/js/**']
2023-11-10 09:24:11.801 WARN  [restartedMain] [o.s.s.c.a.web.builders.WebSecurity] - You are asking Spring Security to ignore Ant [pattern='/images/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-11-10 09:24:11.802 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will not secure Ant [pattern='/images/**']
2023-11-10 09:24:11.805 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3c988071, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7fc6957b, org.springframework.security.web.context.SecurityContextPersistenceFilter@1625500f, org.springframework.security.web.header.HeaderWriterFilter@4363c6d2, org.springframework.security.web.csrf.CsrfFilter@4bd63768, org.springframework.security.web.authentication.logout.LogoutFilter@230c84bd, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@42ad04d9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39c79d1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@64cf89a6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@16f9b26d, org.springframework.security.web.session.SessionManagementFilter@6c324796, org.springframework.security.web.access.ExceptionTranslationFilter@579f1a53, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5a267e10]
2023-11-10 09:24:11.830 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-10 09:24:11.834 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-10 09:24:11.834 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-10 09:24:11.836 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 0.363 seconds (JVM running for 482.64)
2023-11-10 09:24:11.837 INFO  [restartedMain] [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2023-11-10 09:24:19.765 INFO  [File Watcher] [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 88 class path changes (0 additions, 0 deletions, 88 modifications)
2023-11-10 09:24:19.773 INFO  [Thread-15] [o.apache.coyote.http11.Http11NioProtocol] - Pausing ProtocolHandler ["http-nio-8086"]
2023-11-10 09:24:19.773 INFO  [Thread-15] [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2023-11-10 09:24:19.777 INFO  [Thread-15] [o.apache.coyote.http11.Http11NioProtocol] - Stopping ProtocolHandler ["http-nio-8086"]
